index,name,age,guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
1,Wang Bin,30,michaelsanders@shaw.net,FALSE,BASIC,37.89,27-Dec-20,29-Dec-20,131.23,"49380 Rivers Street
Spencerville, AK 68265",4075084747483975747
2,Sharma Manish,23,randy49@brown.biz,FALSE,BASIC,24.37,30-Dec-20,2-Jan-21,114.43,"88394 Boyle Meadows
Conleyberg, TN 22063",1.80073E+14
3,Avery Scott,42,webermelissa@neal.com,TRUE,DELUXE,0,17-Sep-20,18-Sep-20,368.33,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",3.89835E+13
4,Daniel Lewis,35,gsims@terry.com,FALSE,BASIC,,28-Dec-20,31-Dec-20,115.61,"77 Massachusetts Ave
Cambridge, MA 02139",4969551998845740
5,Victoria Robinson,28,misty33@smith.biz,FALSE,BASIC,16.45,5-Apr-20,,122.41,"1234 Corporate Drive
Boston, MA 02116",3558512986488983
6,Li Wei,40,garciacarol@reid-crawford.biz,TRUE,BASIC,0,18-Oct-20,20-Oct-20,177.76,"653 Brianna Mill
Burtonview, TX 66595",4701079720447404938
7,Kumar Pankaj,22,phillipsmatthew@powers-martinez.com,FALSE,BASIC,19.56,22-Nov-20,24-Nov-20,108.09,"923 Bonilla Extension Apt. 787
Brianside, TN 20966",6011956907055260
8,Chloe Mitchell,38,michael86@mann-king.com,FALSE,BASIC,15.23,4-Mar-20,5-Mar-20,111.12,"993 Rebecca Landing
Jesseburgh, PA 05072",4266279461142102517
9,Lucas Baker,45,mariaanderson@fitzpatrick.com,FALSE,BASIC,,6-Jan-20,8-Jan-20,124.23,"2506 Christopher Lock
Lake Paul, IL 17894",4.77921E+12
10,Emma Young,33,aaron44@porter.com,FALSE,BASIC,37.1,22-Jan-20,26-Jan-20,114.44,"48130 Dougherty Mews
Lake Brendaland, CO 39494",6.76384E+11
11,Zhang Tao,50,courtney10@mack-mccormick.com,FALSE,BASIC,14.55,15-Jun-20,16-Jun-20,106.09,"4084 Heather Locks Apt. 091
Blackwellport, GA 62060",3576959406725080
12,Verma Rakesh,55,jeremyhunt@nguyen.com,FALSE,BASIC,4.54,23-Oct-20,25-Oct-20,116.36,"PSC 3287, Box 9500
APO AP 41046",6.75992E+11
13,Lee Ji-eun,29,pdavidson@sanchez-hughes.com,FALSE,BASIC,8.15,7-Mar-20,9-Mar-20,114.03,"241 Castro Fields Suite 715
East Timothy, OH 09119",4.09208E+12
14,Chen Wei,23,hwaters@sexton.net,FALSE,BASIC,17.94,12-Aug-20,13-Aug-20,136.73,"56954 Montgomery Loop
Williamshire, NJ 43500",4.48342E+12
15,Ahmed Hussein,34,michael21@miller.com,TRUE,BASIC,0,1-Oct-20,5-Oct-20,83.8,"PSC 3906, Box 8892
APO AE 45779",4.25305E+12
16,Olga Petrova,45,tamara85@baker.net,FALSE,BASIC,9.76,19-Jul-20,21-Jul-20,109.97,"2189 Cooper Falls
Calderonstad, MS 74354",5.63273E+11
17,Raj Kapoor,36,erinnguyen@mcgee-cole.biz,FALSE,DELUXE,12.87,14-Jul-20,16-Jul-20,238.52,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",3509825543444962
