index,name,age,guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
16189848,Tom Prince,38,dsullivan@example.net,False,DELUXE,4.35,2020-06-21,2020-06-22,240.12,"90469 Karla Knolls Apt. 781
Susanberg, CA 70033",180052671151200.0
12023745,John Roberts,33,steven59@example.org,False,BASIC,25.8,2020-11-21,2020-11-22,156.97,"6108 Carla Ports Apt. 116
Port Evan, MI 71694",3597462455355292.0
15287077,Billy Murphy,35,brandon15@example.net,False,BASIC,1.76,2020-03-31,2020-04-01,194.09,"86709 Jeremy Manors Apt. 786
Port Garychester, NY 89396",4.506225085001041e+18
15968702,Maria Roy,38,humphreyjennifer@example.net,True,DELUXE,0.04,2020-09-20,2020-09-21,281.35,"8906 Bobby Trail
East Sandra, NY 43986",3508886770110131.0
2886621,Sandra Mercado,30,joshuabrown@example.net,False,BASIC,0.48,2020-05-17,2020-05-18,96.26,"732 Dennis Lane
Port Nicholasstad, DE 49786",30183309259420.0
5139537,Eric Sherman,33,moondavid@example.com,False,BASIC,0.8,2020-11-28,2020-11-29,86.26,"812 Kimberly Forges
East Brianafurt, TN 07793",347656375153914.0
14009891,Jerry Berger,37,patty61@example.com,False,BASIC,18.2,2020-04-22,2020-04-23,149.83,"7999 Sheila Forges Apt. 089
West Briannahaven, DC 42402",4433145920976497.0
11808027,Kelly Turner,37,michellehill@example.net,False,BASIC,,2021-01-05,2021-01-06,101.31,"0794 Bell Causeway Suite 830
Port Joseph, WV 87475",6561682123781794.0
15847670,Joan Patterson,36,loganosborne@example.org,False,BASIC,39.55,2020-07-09,2020-07-11,103.75,"436 Derek Walks Apt. 522
Davisburgh, OK 13124",6532732111664183.0
16653740,Sherry Mcdowell,46,gkey@example.org,False,BASIC,26.88,2020-06-05,2020-06-06,112.77,"26077 Small Courts
Brandonshire, IN 30170",38250296241703.0
